timestep,run,funding_pool,token_supply,collateral_pool,simulation,sentiment,substep,subset,token_price
317,1,6877230.049451187,208162289.4720295,4177454.269850046,12,0.5229304193072155,2,0,0.04013651349094491
318,1,6899304.116187151,209464762.54089615,4229894.545697316,12,0.520247980598966,2,0,0.0403876479689176
319,1,6917098.977648746,211122968.50142735,4297130.668914592,12,0.51546856883426,2,0,0.04070737257453388
320,1,6934315.536738597,212983290.05328593,4373193.1156714065,12,0.5551505877086823,2,0,0.04106606780820491
321,1,6970074.013765138,213174088.50991964,4381031.967626692,12,0.5504079406498589,2,0,0.04110285633915427
322,1,6977877.33454825,216721724.56095743,4528063.2915071,12,0.5456652935910351,2,0,0.041786888699600476
323,1,6503874.856717682,217871888.77926555,4576252.610070447,12,0.5250534051855713,2,0,0.04200865596485306
324,1,6516554.720881813,219919910.97843754,4662691.638167038,12,0.5202955124910748,2,0,0.042403542429809364
325,1,6278502.487643794,221573017.37885305,4733052.662233688,12,0.518827872261446,2,0,0.042722283771051
326,1,6302110.89420894,222812934.57631606,4786172.971869907,12,0.49474424579128995,2,0,0.0429613566283387
327,1,6318842.772660883,222822653.06583485,4786590.50046954,12,0.47041962542161514,2,0,0.04296323048496601
328,1,6340812.394814137,222226754.20257747,4761022.99387231,12,0.4655783984336644,2,0,0.04284833309973341
329,1,6350831.221185622,226199138.81188476,4932754.336378825,12,0.5665092084974859,2,0,0.04361426274466128
330,1,6273415.68444863,228415184.21231923,5029878.962675298,12,0.5647270213483069,2,0,0.044041546362345724
331,1,6287331.46505638,229482703.03732282,5077004.0073266495,12,0.5421773880506404,2,0,0.04424737847454177
332,1,6306603.225490202,231081476.33412975,5147991.957555911,12,0.5374736843469364,2,0,0.04455564365628535
333,1,6066672.97269199,232031574.61273092,5190411.223020606,12,0.5335477308631899,2,0,0.044738835494122636
334,1,6075839.900108332,234789932.01552495,5314550.435537796,12,0.5288583286652884,2,0,0.045270684223260325
335,1,6087774.321736929,236531582.08903664,5393688.5610753745,12,0.5242232515857144,2,0,0.04560649798592266
336,1,5832709.130828921,237858238.34076726,5454362.38430728,12,0.5843166744870749,2,0,0.04586229530963814
337,1,5853114.53015203,240359706.7177782,5569688.716132883,12,0.5795388967092963,2,0,0.04634461234946183
338,1,5871483.594001627,242444755.98524618,5666738.63794858,12,0.6126332838577051,2,0,0.0467466381355217
339,1,5883671.891633561,243213405.287548,5702727.367960856,12,0.60781846904289,2,0,0.046894844149059936
340,1,5690739.790203968,247352228.17567462,5898468.25647043,12,0.6045504706799054,2,0,0.047692865352166686
341,1,5710360.872449969,249178646.44223192,5985896.9710372295,12,0.5997356558650908,2,0,0.04804502357247505
342,1,5578265.469298699,252080592.59267893,6126132.91186294,12,0.5972376083398101,2,0,0.04860455816018942
343,1,5592730.815035196,253381481.62206793,6189525.198733916,12,0.5714735221239201,2,0,0.0488553872138606
344,1,5501121.862027382,255418050.54914942,6289422.420281657,12,0.5703338162415681,2,0,0.049248065332574455
345,1,5511062.4100600965,256794899.96644017,6357412.350057073,12,0.5655176397709795,2,0,0.04951354057956685
346,1,5515866.276214617,259655664.4354005,6499847.918225022,12,0.5902294377794821,2,0,0.05006513478039
347,1,5525660.206901917,261942799.99076068,6614857.970893134,12,0.5853775859276306,2,0,0.05050612554440477
348,1,5531602.9957879055,263687054.29917368,6703246.808199179,12,0.5805312638997202,2,0,0.05084244143888702
349,1,5536076.681979204,266247847.54786742,6834075.99208882,12,0.5757442893888025,2,0,0.05133619711881543
350,1,5545032.292798962,268252228.487617,6937360.60550599,12,0.5710035486480617,2,0,0.051722668956886084
351,1,5568630.859302523,269322601.8572139,6992833.626131704,12,0.5662628079073208,2,0,0.05192905146400656
352,1,5587542.809272248,270171217.12837255,7036970.83936135,12,0.5615220671665805,2,0,0.052092676001216774
353,1,5595420.3024807945,272051567.075618,7135264.166931241,12,0.5567817150852253,2,0,0.05245523298123816
354,1,5607435.207424311,273696495.6443841,7221810.134753362,12,0.5529518615295417,2,0,0.05277239752559138
355,1,5469192.97548262,275218152.5039615,7302334.839528268,12,0.5342437090786192,2,0,0.053065793612019525
356,1,5296057.2932861475,276310928.423512,7360438.985987613,12,0.5305022777474173,2,0,0.053276495634700306
357,1,5304073.432205321,277175621.58395636,7406578.890174094,12,0.5258699248062408,2,0,0.05344322020708914
358,1,5161124.154318754,279807384.350876,7547896.497537351,12,0.5796244867032285,2,0,0.053950659772955496
359,1,5203064.5882138545,279216449.3282436,7516048.828837142,12,0.5546471930564812,2,0,0.053836719483538464
360,1,5217405.3644818785,280276728.5107189,7573239.161487578,12,0.5499756602097658,2,0,0.054041155694436814
1,1,26862647.113608804,671566177.84022,40293970.6704132,13,0.75,2,0,0.12000000000000002
2,1,26863191.048740737,672676907.2726132,40427368.427018,13,0.7401929584858931,2,0,0.1201984726692399
3,1,26863660.598647755,674166117.7161971,40606567.38892512,13,0.7351929584858935,2,0,0.12046457489285815
4,1,26828570.03490138,675269512.9985583,40739596.20644859,13,0.7301929584858932,2,0,0.12066173704642157
5,1,26781515.05777353,676739457.8131915,40917155.348784246,13,0.7468944172104823,2,0,0.12092439675677696
6,1,26782210.227504,677982868.9417838,41067652.22067767,13,0.7418944172104823,2,0,0.12114657789149542
7,1,25825575.23649046,679530130.3695459,41255311.53743556,13,0.7390131433657575,2,0,0.12142305305873594
8,1,25826455.114104167,680418169.337558,41363210.39754543,13,0.7152840461936862,2,0,0.12158173388525428
9,1,25171632.167554855,681297592.139327,41470201.243393764,13,0.7138301454844659,2,0,0.12173887511674343
10,1,24577907.141343985,682604403.7137238,41629443.591207266,13,0.7111025055375388,2,0,0.12197238507317384
11,1,24578595.060067862,683417255.2228534,41728648.06012868,13,0.6818084833046674,2,0,0.12211763089453022
12,1,23999775.553532913,684284124.0580083,41834575.166700065,13,0.6790518088449897,2,0,0.12227252889810915
13,1,24000595.001058135,684819713.4311433,41900088.66249008,13,0.6438401548064652,2,0,0.12236823164029147
14,1,24001505.548919566,685394689.2806242,41970476.97710448,13,0.6388401548064647,2,0,0.12247097222523216
